RELATIVE TRACKWORK RANKING
1. EMPIRE OF DREAMS — SHARP | VERY FRESH | Consistent sharp works, improving trend, peak timing gallop 10 days out, swimming supplement.
2. MARENAD BEAUTY — SHARP | VERY FRESH | Race-jockey handled, repeated sharp work, peak timing gallop 8 days out, only minor gate-practice flag.
3. WALTER — SHARP | VERY FRESH | Recent -6s peak, strong overall numbers, but 3-day gap and jockey change are slight negatives.
4. POLAR WIND — SHARP | VERY FRESH | Race-jockey partnered latest sharp gallop, consistent high-end work, 1-day gap is very fresh.
5. TRUTH IN WINE — SHARP | VERY FRESH | Good sharp base but declining trend; race-jockey familiarity is a plus.
6. NATURAL QUEEN — SHARP | VERY FRESH | One exceptional -18s gallop, but heavy swimming and sparse trackwork point to recovery management; fitness not fully proven.
7. ANNALISA — SHARP | IDEAL | Strong mock-race second, ideal 10-day taper, but recent work has eased and jockey changes.
8. MARZGOVEL — SHARP | VERY FRESH | Mock-race midfield, declining trend, jockey change; sharpness may have been lost.
9. HASTING SUNRISE — SHARP | VERY FRESH | Consistent sharp work with swimming, but jockey change and very fresh 2-day gap.
10. O MANCHALI — GOOD | STALE RISK | No trackwork in 30 days; fitness is a major unknown.
11. AUTHENTIC BELL — INSUFFICIENT DATA | STALE RISK | Only one session 69 days ago; no fitness foundation.
12. SNEHA LATHA — NO DATA | N/A | Complete absence of trackwork; cannot rank.
