RELATIVE TRACKWORK RANKING

1. SHEER ELEGANCE – SHARP | IDEAL recency | No gaps, peak timing gallop on 23 Jul, consistent works.
2. STAR OF LIGHT – SHARP | IDEAL | Mock race fitness confirmed, recent sharp works, improving trend.
3. THEOS – SHARP | IDEAL | Steady, unhurried prep with extended gallops; ideal gap.
4. HIGHER LOVE – SHARP | VERY FRESH | Same jockey, sharp final work, though limited recent trackwork mitigated by swimming.
5. SAIGON – SHARP | VERY FRESH | Strong gallops, consistent form, but very fresh and has an occasional gate practice.
6. ALPHA DOMINO – SHARP | VERY FRESH | Last work sharp, but build-up was light; freshness a small risk.
7. AMAZING ARISE – SHARP | VERY FRESH | Very fresh (2 days) and worked behind a questionable partner; fitness strong overall.
8. NATURAL ONE – SHARP (declining) | VERY FRESH | Only one work in two weeks, declining trend, heavy recovery swimming. High risk.
9. GAJABO GRANDE – SHARP (declining) | VERY FRESH | Minimal trackwork, declining times, heavy swimming pattern suspicious. Low confidence.
10. ROYAL FALCON – SHARP | VERY FRESH | One work, swimming management, old lameness flag. Least reliable.

