RELATIVE TRACKWORK RANKING

1.  BOLD SHOW — SHARP | VERY FRESH | No negatives; led every session with eye-catching timing, clearly the best prepared.
2.  REIGN OF TERROR — SHARP | VERY FRESH | Sharp peak timing gallop 6 days out; strong, consistent work.
3.  TIME FOR VICTORY — SHARP | VERY FRESH | Mock race fitness confirmed, solid sharp work, only freshness as a slight question.
4.  HABIBTI — SHARP | VERY FRESH | Consistent SHARP with an "Ignore Last Run" signal; very fit.
5.  CLOUD JUMPER — SHARP | VERY FRESH | Peak timing session 8 days ago, evenly sharp; no apparent weakness.
6.  SUPER STRIDE — SHARP | VERY FRESH | Same jockey and sharp final work; gate practice is a minor monitor.
7.  SINATRA — SHARP | VERY FRESH | Sharp trackwork, but injury recovery and heavy swimming raise a management caution.
8.  SAPIENT — SHARP | VERY FRESH | Solid sharp work and midfield mock race; unexceptional but fit.
9.  EXCELLENT STAR — GOOD | VERY FRESH | Only GOOD level work, no high-intensity signal; short rest may not be enough.
10. GOLDEN BIRD — SHARP | VERY FRESH | Declining trend, sparse recent work, and indifferent mock race place it lower.
11. BLUE ORIGIN — SHARP | VERY FRESH | Declining trend and light recent work; likely needs the race.
12. ROYAL CHIVALRY — SHARP | STALE RISK | 20 days off, poor mock race finish, and medical history make it the least prepared.

