RELATIVE TRACKWORK RANKING

1. ADVAIT — SHARP | VERY FRESH | Consistent sharp works; standout -3s session 6 days before race is a peak timing signal.
2. MASTER CLASS — GOOD | VERY FRESH | Race jockey aboard; two successive above-standard gallops, very positive.
3. VELVERA — GOOD | VERY FRESH | Improving trend with a strong -2s lead work latest; fitness on the rise.
4. ANEMARA — GOOD | IDEAL recency | Two solid efforts, last a good -1s; well-timed prep.
5. KINSHIP — GOOD | VERY FRESH | Return to form with a -2s gallop; sharp within 5 days.
6. N R I MEGA POWER — GOOD | VERY FRESH | Consistent, improving, good final session, though race jockey is new.
7. PHOEBUS — GOOD | VERY FRESH | Good recent form, led partner by 2L, but limited data overall.
8. TWILIGHT KING — SHARP (historical) | STALE RISK | Proven sharpness but no trackwork in 18 days; fitness a major question mark.
9. VIDYUTPRABHAVA — EASY | VERY FRESH | Only two works, latest easy; lacks evidence of readiness.
10. SMASHING GREY — EASY | VERY FRESH | All works below standard; no sharp gallop to suggest peak fitness.
11. WESEETHESAMESUN — STANDARD | IDEAL recency | Lone unextended work; too little data for confidence.
12. WIND CASTLE — EASY | VERY FRESH | Single handy gallop, below standard, insufficient preparation.
13. NORTHERN SKY — EASY | STALE RISK | One old easy work, no recent activity; a clear fitness risk.
14. LOVE ALL — UNKNOWN | No trackwork | No recorded work; fitness completely unknown, serious concern.
