RELATIVE TRACKWORK RANKING

1. YALI — SHARP | IDEAL | Standout -3s final gallop on Outer Sand with clear improving trend across three sessions.
2. SPEEDY QUEEN — SHARP | IDEAL | Mock Race experience plus a sharp recent 800m; last session was GOOD and well-spaced.
3. N R I SUNPOWER — GOOD | IDEAL | Two GOOD sessions, latest a crisp -2s leading gallop; same jockey retains ride.
4. ASHWA VIVEGAM — GOOD | VERY FRESH | Sparse but positive work; latest session was GOOD and same jockey stays aboard.
5. EVAN SVILLE — GOOD | VERY FRESH | Only one session but it was GOOD and yesterday — enough to suggest readiness if lightly framed.
6. GACCHANMANASVIN — STANDARD | IDEAL | Improving profile with two GOOD spins, but no standout fast gallop; same jockey continuity positive.
7. ASHWA JAFFNA — GOOD | VERY FRESH | Two GOOD sessions but last was from behind partner and jockey is now changed.
8. BELGIUM WAFFLE — STANDARD | VERY FRESH | Recent work has sharpened to GOOD after a LAZY 1000m, but overall profile is moderate.
9. OJAS MAXIMUS — STANDARD | VERY FRESH | Improvement from EASY to GOOD, but was urged in penultimate spin and jockey changes.
10. TREND SETTER — STANDARD | IDEAL | Only EASY/STANDARD efforts — no sharp gallop, and jockey changes for race day.
11. LOVE IN PARIS — STANDARD | STALE RISK | 8 days since last run; work was decent but insufficiently recent and jockey changed.
12. STAR LIT — STANDARD | STALE RISK | Single standard session 9 days ago — minimal fitness evidence.
13. MISS LOVELY ANGEL — MISSING TRACKWORK DATA | Complete unknown; no sessions in the report at all.

